"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"   153 Hilda (A875 VC)",3.974,0.1394,7.83,228.09,39.44,3.420,2460000.5,348.83,3.02
"   190 Ismene (A878 SA)",3.993,0.1680,6.18,175.44,271.13,3.322,2460000.5,72.47,3.02
"   334 Chicago (A892 QB)",3.894,0.0250,4.64,130.16,153.64,3.796,2460000.5,53.25,3.06
"   361 Bononia (A893 EF)",3.969,0.2105,12.61,18.78,68.03,3.134,2460000.5,270.01,2.98
"   748 Simeisa (A913 EL)",3.952,0.1893,2.26,265.42,177.74,3.204,2460000.5,89.65,3.03
"   958 Asplinda (A921 SD)",3.992,0.1837,5.63,343.11,92.31,3.259,2460000.5,277.49,3.02
"  1038 Tuckia (A924 WO)",3.981,0.2221,9.19,57.70,305.17,3.097,2460000.5,228.65,2.99
"  1162 Larissa (1930 AC)",3.926,0.1053,1.87,39.66,206.56,3.513,2460000.5,211.24,3.05
"  1180 Rita (1931 GE)",3.983,0.1553,7.19,88.14,205.53,3.365,2460000.5,124.58,3.02
"  1202 Marina (1931 RL)",3.998,0.1678,3.33,49.83,307.70,3.327,2460000.5,232.23,3.03
"  1212 Francette (1931 XC)",3.948,0.1896,7.59,149.56,348.05,3.199,2460000.5,174.29,3.01
"  1256 Normannia (1932 PD)",3.894,0.0796,4.18,236.87,102.00,3.584,2460000.5,260.82,3.06
"  1268 Libya (1930 HJ)",3.982,0.1034,4.43,350.99,118.60,3.571,2460000.5,47.03,3.04
"  1269 Rollandia (1930 SH)",3.903,0.0976,2.76,134.71,19.40,3.522,2460000.5,172.19,3.06
"  1345 Potomac (A908 CE)",3.982,0.1813,11.40,137.43,332.71,3.260,2460000.5,205.52,2.99
"  1439 Vogtia (1937 TE)",3.993,0.1163,4.20,35.55,101.16,3.529,2460000.5,162.72,3.04
"  1512 Oulu (1939 FE)",3.963,0.1422,6.47,10.05,237.69,3.399,2460000.5,224.55,3.03
"  1529 Oterma (1938 BC)",3.986,0.2018,9.06,100.60,294.69,3.182,2460000.5,298.55,3
"  1578 Kirkwood (1951 AT)",3.929,0.2412,0.81,74.00,1.74,2.981,2460000.5,88.82,3.01
"  1746 Brouwer (1963 RF)",3.954,0.2090,8.36,321.93,47.85,3.128,2460000.5,182.65,3
"  1748 Mauderli (1966 RA)",3.949,0.2161,3.30,125.60,198.60,3.096,2460000.5,116.27,3.02
"  1754 Cunningham (1935 FE)",3.94,0.1691,12.15,162.83,110.17,3.274,2460000.5,332.89,3
"  1877 Marsden (1971 FC)",3.946,0.2051,17.54,352.60,305.92,3.137,2460000.5,137.24,2.94
"  1902 Shaposhnikov (1972 HU)",3.968,0.2210,12.48,59.04,266.65,3.091,2460000.5,76.94,2.97
"  1911 Schubart (1973 UD)",3.976,0.1726,1.64,284.83,181.50,3.290,2460000.5,26.20,3.03
"  1941 Wild (1931 TN1)",3.957,0.2897,3.96,60.41,303.03,2.811,2460000.5,178.57,2.98
"  2067 Aksnes (1936 DD)",3.972,0.1832,3.08,150.22,297.06,3.244,2460000.5,81.10,3.02
"  2246 Bowell (1979 XH)",3.951,0.0918,6.50,155.64,21.94,3.588,2460000.5,134.86,3.04
"  2312 Duboshin (1976 GU2)",3.968,0.1586,5.16,61.41,342.40,3.338,2460000.5,114.73,3.03
"  2483 Guinevere (1928 QB)",3.966,0.2773,4.50,252.05,183.07,2.866,2460000.5,254.69,2.98
"  2624 Samitchell (1962 RE)",3.948,0.1178,2.80,161.51,139.18,3.483,2460000.5,296.90,3.05
"  2760 Kacha (1980 TU6)",3.994,0.1199,13.48,352.50,150.32,3.515,2460000.5,356.59,2.99
"  2959 Scholl (1983 RE2)",3.966,0.2730,5.23,121.13,284.33,2.884,2460000.5,331.92,2.98
"  3134 Kostinsky (A921 VA)",3.988,0.2196,7.64,256.95,162.85,3.112,2460000.5,296.23,3
"  3202 Graff (A908 AA)",3.927,0.1141,11.11,205.13,267.99,3.479,2460000.5,188.82,3.02
"  3254 Bus (1982 UM)",3.966,0.1544,4.41,42.77,302.60,3.354,2460000.5,75.12,3.03
"  3290 Azabu (1973 SZ1)",3.952,0.1309,2.77,75.06,108.60,3.435,2460000.5,272.17,3.04
"  3415 Danby (1928 SL)",3.974,0.2494,1.37,253.83,136.10,2.983,2460000.5,336.54,3
"  3514 Hooke (1971 UJ)",3.956,0.1934,3.51,24.27,341.89,3.191,2460000.5,223.60,3.02
"  3561 Devine (1983 HO)",3.957,0.1293,9.68,117.80,176.97,3.445,2460000.5,310.70,3.02
"  3571 Milanstefanik (1982 EJ)",3.933,0.1116,7.86,248.92,21.59,3.494,2460000.5,8.32,3.04
"  3577 Putilin (1969 TK)",3.939,0.1962,3.74,280.16,179.28,3.166,2460000.5,211.60,3.02
"  3694 Sharon (1984 SH5)",3.934,0.2063,4.98,311.08,80.04,3.122,2460000.5,322.51,3.02
"  3843 OISCA (1987 DM)",3.983,0.1447,3.93,28.30,23.63,3.406,2460000.5,265.33,3.03
"  3923 Radzievskij (1976 SN3)",3.965,0.2205,3.49,152.06,282.78,3.091,2460000.5,277.43,3.01
"  3990 Heimdal (1987 SO3)",3.945,0.2422,9.50,192.62,197.95,2.989,2460000.5,162.15,2.98
"  4196 Shuya (1982 SA13)",3.894,0.0268,1.51,166.03,223.53,3.789,2460000.5,54.29,3.06
"  4230 van den Bergh (1973 ST1)",3.946,0.1341,3.10,160.44,19.74,3.417,2460000.5,293.27,3.04
"  4255 Spacewatch (1986 GW)",3.976,0.1484,2.61,183.72,72.71,3.386,2460000.5,198.53,3.04
"  4317 Garibaldi (1980 DA1)",3.988,0.1603,9.82,38.45,94.57,3.349,2460000.5,169.45,3.01
"  4446 Carolyn (1985 TT)",3.987,0.2813,7.24,188.94,117.33,2.865,2460000.5,298.61,2.97
"  4495 Dassanowsky (1988 VS)",3.964,0.1459,5.28,223.39,209.96,3.386,2460000.5,127.19,3.03
"  4757 Liselotte (1973 ST)",3.941,0.0838,0.17,91.17,79.20,3.611,2460000.5,306.60,3.06
"  5368 Vitagliano (1984 SW5)",3.966,0.0813,6.27,159.53,338.21,3.644,2460000.5,180.11,3.04
"  5439 Couturier (1990 RW)",3.951,0.1615,1.22,351.37,327.02,3.313,2460000.5,64.02,3.04
"  5603 Rausudake (1992 CE)",3.985,0.0525,4.37,195.93,8.37,3.775,2460000.5,286.05,3.05
"  5661 Hildebrand (1977 PO1)",3.962,0.2353,13.31,317.05,1.96,3.029,2460000.5,294.96,2.96
"  5711 Eneev (1978 SO4)",3.941,0.1645,6.37,14.14,296.17,3.293,2460000.5,292.87,3.03
"  5928 Pindarus (1973 SK1)",3.97,0.1192,9.28,163.87,104.42,3.496,2460000.5,167.60,3.02
"  6124 Mecklenburg (1987 SL10)",3.986,0.2418,9.37,159.75,243.22,3.022,2460000.5,148.16,2.98
"  6237 Chikushi (1989 CV)",3.931,0.0715,5.36,25.49,207.07,3.650,2460000.5,25.95,3.05
"  6984 Lewiscarroll (1994 AO)",3.975,0.1869,16.80,206.18,247.78,3.232,2460000.5,242.97,2.95
"  7027 Toshihanda (1993 XT)",3.971,0.1936,12.37,77.16,12.46,3.202,2460000.5,257.40,2.98
"  7174 Semois (1988 SQ)",3.995,0.1752,12.65,354.36,290.13,3.295,2460000.5,161.68,2.99
"  7284 (1989 VW)",3.98,0.1668,6.36,47.07,40.31,3.316,2460000.5,40.27,3.02
"  7394 Xanthomalitia (1985 QX4)",3.924,0.0355,8.62,174.66,191.57,3.784,2460000.5,276.23,3.04
"  8086 Peterthomas (1989 RB6)",3.945,0.2073,12.12,28.41,287.58,3.127,2460000.5,110.61,2.98
"  8130 Seeberg (1976 DJ1)",3.998,0.1316,5.96,113.59,91.74,3.472,2460000.5,267.92,3.03
"  8376 (1992 OZ9)",3.986,0.1979,3.51,50.25,257.93,3.198,2460000.5,303.04,3.02
"  8550 Hesiodos (1994 PV24)",3.948,0.2608,2.88,23.49,336.27,2.918,2460000.5,213.27,3
"  8551 Daitarabochi (1994 VC7)",3.994,0.1546,14.16,52.16,260.29,3.376,2460000.5,282.49,2.98
"  8721 AMOS (1996 AO3)",3.884,0.0285,5.45,265.23,86.36,3.773,2460000.5,290.02,3.06
"  8743 Keneke (1998 EH12)",3.932,0.1557,16.67,147.98,133.24,3.320,2460000.5,339.46,2.97
"  8913 (1995 YB2)",3.957,0.1284,1.86,309.71,245.56,3.448,2460000.5,80.67,3.04
"  8915 Sawaishujiro (1995 YK3)",3.928,0.0507,3.69,245.16,326.87,3.729,2460000.5,79.60,3.06
"  9121 Stefanovalentini (1998 DJ11)",3.88,0.0421,4.65,326.78,339.44,3.717,2460000.5,315.27,3.06
"  9661 Hohmann (1996 FU13)",3.95,0.2329,13.00,56.51,287.67,3.030,2460000.5,43.45,2.97
"  9829 Murillo (1973 SJ1)",3.95,0.1273,2.64,181.73,4.18,3.447,2460000.5,275.02,3.04
" 10063 Erinleeryan (1988 SZ2)",3.984,0.0328,2.99,123.90,49.89,3.853,2460000.5,301.68,3.05
" 10296 Rominadisisto (1988 RQ12)",3.954,0.2107,3.51,9.05,98.80,3.121,2460000.5,55.74,3.02
" 10331 Peterbluhm (1991 GM10)",3.994,0.2258,4.64,105.50,233.00,3.092,2460000.5,234.21,3
" 10608 Mameta (1996 VB9)",3.996,0.2560,4.52,159.92,258.29,2.973,2460000.5,101.69,2.99
" 10610 (1996 XR1)",3.962,0.2195,4.63,87.43,283.51,3.092,2460000.5,179.91,3.01
" 10632 (1998 CV1)",3.932,0.2052,8.40,111.14,294.29,3.125,2460000.5,149.53,3.01
" 10889 (1997 AO1)",3.933,0.0681,5.20,112.40,173.63,3.665,2460000.5,319.63,3.05
" 11175 (1998 FY67)",3.961,0.0974,8.75,180.36,79.52,3.575,2460000.5,1.73,3.03
" 11249 Etna (1971 FD)",3.951,0.1940,14.45,3.74,296.61,3.184,2460000.5,109.93,2.97
" 11274 Castillo-Rogez (1988 SX2)",3.968,0.2124,2.30,10.64,53.40,3.126,2460000.5,66.15,3.02
" 11388 (1998 VU4)",3.932,0.1208,8.21,217.21,278.82,3.457,2460000.5,329.60,3.03
" 11410 (1999 FU34)",3.944,0.1650,5.77,39.27,266.07,3.293,2460000.5,288.39,3.03
" 11542 Solikamsk (1992 SU21)",3.948,0.2404,6.87,16.76,49.27,2.999,2460000.5,262.04,3
" 11739 Baton Rouge (1998 SG27)",3.955,0.2478,12.07,269.32,114.47,2.976,2460000.5,12.12,2.97
" 11750 (1999 NM33)",3.971,0.0536,2.68,327.06,330.40,3.758,2460000.5,346.77,3.05
" 11951 (1994 AJ3)",3.967,0.1328,4.43,161.25,312.10,3.440,2460000.5,225.93,3.04
" 12006 Hruschka (1996 OO)",3.967,0.0850,10.25,231.60,8.54,3.630,2460000.5,184.62,3.02
" 12307 (1991 UA)",3.992,0.2538,2.34,352.03,27.18,2.978,2460000.5,345.53,3
" 12896 Geoffroy (1998 QV102)",3.968,0.2867,6.34,46.80,321.67,2.830,2460000.5,33.76,2.97
" 12920 (1998 VM15)",3.978,0.2054,6.35,220.53,86.50,3.161,2460000.5,88.38,3.01
" 13035 (1989 UA6)",3.976,0.1591,3.63,58.12,211.47,3.344,2460000.5,177.42,3.03
" 13317 (1998 RQ77)",3.991,0.2019,7.15,40.29,313.10,3.185,2460000.5,36.31,3.01
" 13381 (1998 WJ17)",3.987,0.2118,4.20,233.63,81.30,3.143,2460000.5,98.52,3.01
" 13504 (1988 RV12)",3.977,0.1719,16.27,186.08,305.56,3.293,2460000.5,345.39,2.96
" 13897 Vesuvius (4216 T-2)",3.986,0.1355,9.25,168.39,142.81,3.446,2460000.5,140.47,3.02
" 14195 (1998 XD51)",3.973,0.1296,7.74,318.22,192.36,3.458,2460000.5,344.84,3.03
" 14569 (1998 QB32)",3.996,0.2845,10.87,345.95,36.98,2.860,2460000.5,4.41,2.95
" 14669 Beletic (1999 DC)",3.989,0.1290,5.77,195.53,247.99,3.475,2460000.5,60.11,3.03
" 14845 Hegel (1988 VS6)",3.955,0.2410,4.90,209.09,210.31,3.001,2460000.5,112.24,3
" 15068 Wiegert (1999 AJ20)",3.967,0.2278,1.74,346.56,93.59,3.063,2460000.5,52.45,3.01
" 15231 Ehdita (1987 RO5)",3.942,0.2934,6.82,158.29,215.89,2.785,2460000.5,180.13,2.97
" 15278 Paquet (1991 PG7)",3.985,0.2167,9.29,344.76,64.34,3.121,2460000.5,280.74,2.99
" 15373 (1996 WV1)",3.967,0.1542,8.43,214.39,206.04,3.356,2460000.5,104.09,3.02
" 15376 Martak (1997 CT1)",3.941,0.3100,2.90,256.32,101.82,2.719,2460000.5,206.38,2.97
" 15417 Babylon (1998 DH34)",3.932,0.0527,3.18,75.73,194.69,3.725,2460000.5,331.67,3.06
" 15426 (1998 SW43)",3.971,0.1640,5.25,239.49,134.87,3.320,2460000.5,30.28,3.03
" 15505 (1999 RF56)",3.951,0.1167,7.98,1.49,215.71,3.490,2460000.5,95.48,3.03
" 15540 (2000 CF18)",3.98,0.1092,16.97,142.46,78.51,3.546,2460000.5,249.47,2.97
" 15545 (2000 EK46)",3.973,0.1763,2.18,348.25,120.96,3.273,2460000.5,20.66,3.03
" 15615 (2000 HU1)",3.972,0.2418,3.00,180.17,152.71,3.012,2460000.5,240.90,3
" 15626 (2000 HR50)",3.956,0.1136,1.80,137.95,288.25,3.507,2460000.5,124.99,3.05
" 15638 (2000 JA65)",3.993,0.1851,9.41,118.61,224.75,3.254,2460000.5,223.29,3
" 15671 Suzannedebarbat (1977 EP6)",3.964,0.1021,7.21,185.07,17.66,3.559,2460000.5,295.28,3.04
" 15783 Briancox (1993 PZ2)",3.955,0.2579,4.85,220.33,119.29,2.935,2460000.5,264.16,2.99
" 16232 Chijagerbs (2000 ED152)",3.952,0.1129,7.93,251.21,253.84,3.506,2460000.5,353.35,3.03
" 16843 (1997 XX3)",3.951,0.1827,5.37,158.57,136.06,3.229,2460000.5,327.72,3.02
" 16915 Bredthauer (1998 FR10)",3.932,0.1505,7.64,349.33,257.44,3.340,2460000.5,23.42,3.03
" 16927 (1998 FX68)",3.977,0.1402,12.92,207.13,93.99,3.420,2460000.5,325.11,3
" 16970 (1998 VV2)",3.964,0.1126,8.77,233.08,40.36,3.517,2460000.5,152.64,3.03
" 17212 (2000 AV183)",3.971,0.2624,9.06,162.14,184.50,2.929,2460000.5,61.14,2.98
" 17397 (1981 EF48)",3.927,0.0249,1.72,221.50,177.77,3.829,2460000.5,284.72,3.06
" 17428 Charleroi (1989 DL)",3.932,0.1141,8.43,255.96,327.26,3.484,2460000.5,67.37,3.03
" 17867 (1998 KD46)",3.972,0.0651,8.20,105.08,114.86,3.713,2460000.5,71.03,3.04
" 18036 (1999 ND26)",3.969,0.1442,3.91,82.91,164.55,3.397,2460000.5,33.18,3.04
" 19034 Santorini (2554 P-L)",3.959,0.2468,3.53,50.40,358.17,2.982,2460000.5,296.83,3
" 19752 (2000 CH67)",3.996,0.1541,23.92,155.33,315.85,3.380,2460000.5,27.34,2.88
" 20038 Arasaki (1992 UN5)",3.985,0.2409,19.56,56.20,6.84,3.025,2460000.5,277.79,2.91
" 20640 (1999 TF118)",3.982,0.2224,6.97,340.00,54.71,3.096,2460000.5,332.19,3
" 21047 Hodierna (1990 SE5)",3.989,0.1765,4.50,51.86,288.15,3.284,2460000.5,45.59,3.02
" 21128 Chapuis (1993 BJ5)",3.961,0.1057,7.92,316.84,266.44,3.542,2460000.5,205.57,3.03
" 21804 Vaclavneumann (1999 TC8)",3.946,0.2692,3.83,97.88,260.95,2.884,2460000.5,9.71,2.99
" 21930 (1999 VP61)",3.974,0.2503,2.33,201.08,184.57,2.979,2460000.5,358.23,3
" 22070 (2000 AN106)",3.98,0.2750,13.74,123.45,221.76,2.886,2460000.5,46.31,2.94
" 22116 (2000 RK71)",3.896,0.0476,5.57,114.76,194.28,3.711,2460000.5,28.19,3.06
" 22647 Levi-Strauss (1998 OR8)",3.971,0.2492,2.32,199.91,179.24,2.982,2460000.5,10.14,3
" 23174 (2000 HM40)",3.948,0.2566,15.75,164.15,226.04,2.935,2460000.5,180.23,2.94
" 23186 (2000 PO8)",4,0.1240,13.08,98.23,101.93,3.504,2460000.5,80.68,3
" 23301 (2001 AO16)",3.988,0.1944,21.41,301.49,357.29,3.213,2460000.5,114.26,2.9
" 23405 Nisyros (1973 SB1)",3.973,0.1130,5.22,117.99,184.80,3.524,2460000.5,154.71,3.04
" 24701 Elyu-Ene (1990 VY5)",3.933,0.1718,15.54,94.30,34.64,3.258,2460000.5,354.26,2.97
" 25800 Glukhovsky (2000 CG83)",3.984,0.1239,2.41,3.28,180.32,3.491,2460000.5,298.84,3.04
" 25869 Jacoby (2000 JP70)",3.978,0.1438,16.97,250.00,250.83,3.406,2460000.5,356.07,2.96
" 27561 (2000 KJ1)",3.981,0.2006,5.56,141.56,215.89,3.183,2460000.5,224.96,3.01
" 28918 (2000 QF21)",3.963,0.1335,6.83,168.44,329.06,3.434,2460000.5,168.27,3.03
" 29053 Muskau (4466 T-2)",3.926,0.0737,2.30,72.24,55.87,3.637,2460000.5,6.21,3.06
" 29433 (1997 HC3)",3.931,0.0621,4.84,197.13,316.49,3.687,2460000.5,149.00,3.05
" 29574 (1998 FM45)",3.892,0.0410,5.22,131.29,198.01,3.733,2460000.5,299.37,3.06
" 29591 (1998 FK121)",3.965,0.1313,5.61,39.87,269.23,3.445,2460000.5,307.43,3.04
" 29944 (1999 JF80)",3.95,0.1788,13.63,114.16,167.39,3.243,2460000.5,334.89,2.98
" 29973 (1999 LP7)",3.984,0.1669,2.80,181.36,108.08,3.319,2460000.5,316.76,3.03
" 30435 (2000 LB29)",3.955,0.2349,3.10,195.60,102.68,3.026,2460000.5,329.85,3.01
" 30512 (2001 HO8)",3.851,0.3230,25.71,128.46,43.16,2.607,2460000.5,358.01,2.82
" 30764 (1981 EK47)",3.966,0.1303,1.96,236.46,289.01,3.450,2460000.5,117.75,3.04
" 31020 Skarupa (1996 FP1)",3.982,0.1197,3.47,1.59,180.11,3.505,2460000.5,121.14,3.04
" 31097 Nucciomula (1997 JM11)",3.954,0.1064,2.71,97.28,72.23,3.533,2460000.5,148.19,3.05
" 31284 (1998 FN48)",3.961,0.1453,7.73,331.18,289.69,3.385,2460000.5,356.42,3.02
" 31338 Lipperhey (1998 HX147)",3.977,0.0582,9.57,53.23,161.84,3.745,2460000.5,63.11,3.03
" 31817 (1999 RK134)",3.975,0.1468,6.27,270.34,190.84,3.392,2460000.5,236.82,3.03
" 32395 (2000 QV213)",3.987,0.1399,5.37,351.07,166.00,3.429,2460000.5,132.84,3.03
" 32455 (2000 SW60)",3.962,0.1646,8.95,12.47,115.95,3.310,2460000.5,194.55,3.01
" 32460 (2000 SY92)",3.953,0.3075,11.00,262.17,172.51,2.738,2460000.5,258.61,2.94
" 32542 (2001 QK7)",3.959,0.0730,1.19,163.26,189.95,3.670,2460000.5,243.61,3.05
" 32724 Woerlitz (4029 T-3)",3.942,0.1399,9.91,56.67,59.58,3.390,2460000.5,194.50,3.02
" 33753 (1999 RW42)",3.959,0.2251,8.20,136.28,259.50,3.067,2460000.5,311.85,3
" 34919 Imelda (4710 P-L)",3.965,0.2275,6.61,16.31,41.35,3.063,2460000.5,277.86,3
" 35016 (1981 EC7)",3.947,0.1173,7.84,307.29,207.49,3.484,2460000.5,147.78,3.03
" 35630 (1998 KQ23)",3.954,0.1262,9.97,93.14,116.76,3.455,2460000.5,66.99,3.02
" 36182 Montigiani (1999 TY12)",3.983,0.2050,4.48,55.32,320.28,3.166,2460000.5,337.17,3.01
" 36274 (2000 AV107)",3.985,0.1661,15.57,109.51,183.60,3.323,2460000.5,124.18,2.97
" 36941 (2000 SV239)",3.941,0.1232,0.80,14.93,62.08,3.456,2460000.5,271.53,3.05
" 37155 (2000 VD59)",3.968,0.1462,7.68,313.67,117.20,3.388,2460000.5,290.63,3.02
" 37452 Spirit (4282 P-L)",3.949,0.2210,8.27,352.31,47.72,3.076,2460000.5,307.50,3
" 37578 (1990 RY2)",3.937,0.2644,2.35,277.69,68.84,2.896,2460000.5,70.60,3
" 37590 (1991 RA14)",3.956,0.2692,7.85,338.58,36.66,2.891,2460000.5,355.79,2.98
" 38046 Krasnoyarsk (1998 SW144)",3.96,0.2113,3.01,23.29,295.74,3.123,2460000.5,80.37,3.02
" 38292 (1999 RA77)",3.958,0.2638,4.83,106.57,307.90,2.914,2460000.5,323.18,2.99
" 38470 Deleflie (1999 TL36)",3.984,0.2074,8.66,40.96,332.40,3.158,2460000.5,346.24,3
" 38553 (1999 VU68)",3.931,0.2512,0.71,159.77,199.97,2.943,2460000.5,32.19,3.01
" 38579 (1999 XM15)",3.99,0.1974,2.66,329.92,52.83,3.202,2460000.5,10.79,3.02
" 38613 (2000 AV110)",3.96,0.1366,15.19,260.60,27.23,3.419,2460000.5,153.43,2.98
" 38684 Velehrad (2000 QK9)",3.956,0.1965,1.57,281.30,168.39,3.179,2460000.5,231.62,3.02
" 38701 (2000 QB66)",3.957,0.1403,9.88,96.69,46.73,3.401,2460000.5,175.21,3.02
" 38709 (2000 QO90)",3.947,0.2614,4.72,265.76,187.40,2.915,2460000.5,235.07,2.99
" 38830 (2000 RK99)",3.934,0.1867,14.95,235.93,215.87,3.200,2460000.5,242.94,2.97
" 39266 (2001 AT2)",3.967,0.2486,7.04,105.12,189.44,2.981,2460000.5,131.12,2.99
" 39282 (2001 BM36)",3.959,0.1805,6.89,278.35,356.72,3.244,2460000.5,155.43,3.02
" 39294 (2001 DB33)",3.945,0.0646,12.09,128.48,51.92,3.690,2460000.5,257.14,3.02
" 39382 Opportunity (2696 P-L)",3.991,0.1972,2.90,128.90,296.24,3.204,2460000.5,307.51,3.02
" 39405 Mosigkau (1063 T-1)",3.957,0.2210,1.75,246.20,65.26,3.083,2460000.5,93.97,3.02
" 39415 Janeausten (4231 T-1)",3.938,0.2025,2.38,123.43,162.75,3.141,2460000.5,164.51,3.02
" 39427 Charlottebronte (3360 T-2)",3.984,0.1813,3.86,68.37,240.37,3.262,2460000.5,119.76,3.02
" 40227 Tahiti (1998 SR145)",3.951,0.2424,10.33,35.30,291.36,2.993,2460000.5,76.20,2.98
" 40246 (1998 WV18)",3.936,0.1406,11.28,243.44,306.90,3.383,2460000.5,280.61,3.01
" 41278 (1999 XA90)",3.959,0.1243,7.99,258.14,304.38,3.467,2460000.5,250.95,3.03
" 41283 (1999 XM99)",3.969,0.2125,11.60,84.94,273.69,3.126,2460000.5,47.50,2.98
" 41351 (2000 AS27)",3.915,0.0271,5.85,51.56,108.63,3.808,2460000.5,298.67,3.05
" 41365 (2000 AO98)",3.983,0.2266,9.27,168.50,201.36,3.080,2460000.5,349.29,2.99
" 41419 (2000 AW234)",3.931,0.0600,3.61,165.45,355.21,3.695,2460000.5,299.30,3.06
" 41488 Sindbad (2000 QE71)",3.944,0.1527,9.62,148.53,312.09,3.342,2460000.5,215.23,3.02
" 42167 (2001 CR13)",3.959,0.1347,5.57,100.02,118.60,3.425,2460000.5,210.30,3.04
" 42190 (2001 CM36)",3.941,0.0971,9.26,40.15,183.17,3.558,2460000.5,232.63,3.03
" 42237 (2001 EG21)",3.968,0.1286,9.04,199.44,108.87,3.458,2460000.5,151.20,3.02
" 43818 (1992 ET32)",3.988,0.1284,2.43,245.71,298.82,3.476,2460000.5,316.97,3.04
" 43940 (1996 XY5)",3.95,0.2314,6.49,86.43,300.00,3.036,2460000.5,169.68,3
" 44549 (1999 BH13)",3.985,0.0846,4.49,159.14,312.99,3.648,2460000.5,36.09,3.04
" 45721 (2000 GZ42)",3.807,0.0761,1.02,48.00,309.75,3.517,2460000.5,232.15,3.07
" 45739 (2000 HR25)",3.994,0.3192,7.36,37.28,338.09,2.719,2460000.5,170.47,2.95
" 45850 (2000 SH209)",3.94,0.0991,10.29,130.10,349.52,3.550,2460000.5,215.61,3.02
" 45862 (2000 UQ51)",3.967,0.1623,3.16,179.55,217.06,3.323,2460000.5,306.37,3.03
" 46302 (2001 OG13)",3.962,0.2316,3.83,7.09,296.03,3.045,2460000.5,278.35,3.01
" 46629 (1994 PS38)",3.954,0.2461,1.70,303.86,46.07,2.981,2460000.5,212.15,3
" 47907 (2000 GT71)",3.967,0.2925,1.74,94.36,265.30,2.807,2460000.5,200.82,2.98
" 47941 (2000 HU61)",3.97,0.1292,2.81,196.65,157.48,3.457,2460000.5,193.07,3.04
" 48342 (2002 PQ51)",3.93,0.1893,3.40,358.44,348.22,3.186,2460000.5,202.15,3.03
" 48529 von Wrangel (1993 OV10)",3.978,0.2350,2.17,253.08,74.33,3.044,2460000.5,241.34,3.01
" 48881 (1998 HS136)",3.997,0.0696,11.34,35.88,235.33,3.719,2460000.5,330.93,3.02
" 51178 Geraintjones (2000 HX70)",3.962,0.2353,10.06,78.60,282.23,3.029,2460000.5,213.54,2.98
" 51284 (2000 KE9)",3.934,0.2679,3.02,211.34,107.19,2.880,2460000.5,269.45,3
" 51298 (2000 KY51)",3.985,0.2124,3.26,350.67,356.77,3.138,2460000.5,212.89,3.01
" 51349 (2000 QQ173)",3.946,0.1414,10.48,291.28,288.86,3.388,2460000.5,47.76,3.01
" 51838 (2001 OC61)",3.998,0.2706,1.11,44.10,288.66,2.916,2460000.5,244.56,2.99
" 51865 (2001 PR2)",3.926,0.0896,2.54,32.96,314.54,3.574,2460000.5,259.29,3.05
" 51874 (2001 PZ28)",3.973,0.2357,11.61,160.87,147.80,3.036,2460000.5,272.20,2.97
" 51888 (2001 QZ17)",3.975,0.2294,1.78,319.12,15.94,3.063,2460000.5,261.09,3.01
" 51930 (2001 QW127)",3.98,0.2126,8.37,218.22,114.09,3.134,2460000.5,249.65,3
" 51983 Honig (2001 SZ8)",3.959,0.1204,9.40,9.95,295.93,3.482,2460000.5,301.18,3.02
" 52016 (2002 NO18)",3.988,0.2538,5.65,194.55,219.90,2.976,2460000.5,132.96,2.99
" 52068 (2002 QX40)",3.952,0.2798,6.38,87.25,299.87,2.846,2460000.5,172.75,2.98
" 52079 (2002 RU61)",3.994,0.2258,4.31,119.73,212.77,3.092,2460000.5,228.85,3
" 52702 (1998 FR71)",3.941,0.1297,2.42,49.08,163.68,3.430,2460000.5,52.93,3.04
" 54514 (2000 PA12)",3.994,0.2346,20.84,125.03,323.25,3.057,2460000.5,224.51,2.9
" 54599 (2000 QN244)",3.925,0.0577,0.35,9.08,155.09,3.699,2460000.5,144.29,3.06
" 54628 (2000 SB81)",3.967,0.1391,6.13,59.11,102.99,3.416,2460000.5,165.07,3.03
" 54630 (2000 SM112)",3.976,0.1369,9.01,201.71,251.64,3.432,2460000.5,239.80,3.02
" 54631 (2000 SJ115)",3.973,0.0550,6.10,28.77,126.44,3.754,2460000.5,170.86,3.04
" 54644 (2000 SN284)",3.981,0.0478,6.52,306.56,229.74,3.790,2460000.5,125.93,3.04
" 54657 (2000 SA366)",3.958,0.1189,4.91,31.95,232.16,3.488,2460000.5,12.97,3.04
" 55196 Marchini (2001 RM16)",3.992,0.1549,5.56,31.69,242.06,3.374,2460000.5,318.63,3.03
" 55347 (2001 SH142)",3.966,0.0590,8.14,204.68,93.45,3.732,2460000.5,310.82,3.04
" 55439 (2001 TZ84)",3.962,0.1242,2.07,224.45,283.76,3.470,2460000.5,142.10,3.04
" 55498 (2001 UT83)",3.967,0.2207,1.57,69.49,18.86,3.091,2460000.5,231.30,3.01
" 55505 (2001 UK113)",3.946,0.1294,4.10,93.79,88.18,3.435,2460000.5,100.65,3.04
" 56982 (2000 SE189)",3.945,0.2197,8.41,335.03,100.05,3.079,2460000.5,273.37,3
" 56985 (2000 SR202)",3.983,0.1850,3.47,151.56,309.12,3.246,2460000.5,223.69,3.02
