"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"194384 (2001 VK3)",3.956,0.1639,1.67,297.19,163.50,3.308,2460000.5,211.03,3.04
"194399 (2001 VF24)",3.947,0.1232,7.70,49.49,17.28,3.461,2460000.5,248.33,3.03
"194501 (2001 WJ85)",3.937,0.2037,1.58,152.67,303.41,3.135,2460000.5,244.45,3.02
"194512 (2001 XR)",3.95,0.1996,2.23,150.09,264.36,3.161,2460000.5,276.59,3.02
"194631 (2001 XE162)",3.967,0.1480,3.77,114.38,313.74,3.380,2460000.5,256.17,3.04
"194724 (2001 XR257)",3.978,0.1495,10.40,241.53,235.66,3.383,2460000.5,203.89,3.01
"194741 (2001 YH20)",3.996,0.1767,2.83,13.66,109.15,3.290,2460000.5,185.34,3.02
"194742 (2001 YN20)",3.948,0.1747,1.63,279.28,198.67,3.258,2460000.5,210.26,3.03
"194743 (2001 YD21)",3.971,0.1356,3.73,68.96,66.37,3.433,2460000.5,205.58,3.04
"194860 (2002 AF36)",3.951,0.1947,4.02,93.30,7.35,3.181,2460000.5,235.17,3.02
"194927 (2002 AL134)",3.996,0.1726,3.86,118.39,5.56,3.307,2460000.5,215.58,3.02
"194989 (2002 BZ6)",3.944,0.2547,9.97,62.51,14.40,2.940,2460000.5,276.05,2.98
"195204 (2002 CR306)",3.952,0.1790,8.66,98.68,297.43,3.245,2460000.5,311.25,3.01
"197478 (2004 BL2)",3.968,0.1097,3.87,124.06,56.37,3.533,2460000.5,100.49,3.04
"197528 (2004 EM19)",3.992,0.0847,8.32,1.68,149.92,3.654,2460000.5,150.03,3.03
"197537 (2004 EW71)",3.923,0.1571,8.67,347.68,110.74,3.307,2460000.5,219.09,3.02
"197554 (2004 FB98)",3.956,0.1045,11.31,72.10,105.86,3.543,2460000.5,152.64,3.02
"197558 (2004 FL122)",3.991,0.0829,7.73,208.54,256.07,3.660,2460000.5,202.48,3.03
"198722 (2005 CU78)",3.956,0.1776,1.95,323.81,299.20,3.254,2460000.5,15.96,3.03
"199715 (2006 HJ78)",3.92,0.2046,2.90,75.45,194.53,3.118,2460000.5,25.13,3.02
"200040 (2007 RR162)",3.953,0.1209,12.10,176.91,252.05,3.475,2460000.5,276.03,3.01
"200043 (2007 TU73)",3.978,0.2697,5.34,259.79,153.55,2.905,2460000.5,323.70,2.98
"200417 (2000 SO182)",3.937,0.3185,23.07,231.14,164.23,2.683,2460000.5,321.83,2.84
"200441 (2000 UF108)",3.988,0.2850,9.90,162.02,266.61,2.852,2460000.5,273.55,2.96
"200465 (2000 WT140)",3.983,0.2525,1.63,276.66,128.67,2.977,2460000.5,307.49,3
"200902 (2002 AT47)",3.954,0.2405,1.91,228.50,205.70,3.003,2460000.5,274.99,3.01
"201937 (2004 EA16)",3.94,0.1002,8.30,175.39,308.09,3.545,2460000.5,187.51,3.03
"202314 (2005 EM18)",3.969,0.1333,7.64,336.96,276.60,3.440,2460000.5,17.50,3.03
"202551 (2006 DX188)",3.959,0.1171,4.30,23.18,246.24,3.495,2460000.5,339.14,3.04
"202965 (1999 TK28)",3.93,0.2713,2.23,288.03,84.54,2.863,2460000.5,1.43,3
"202975 (1999 TT121)",3.965,0.2913,2.75,48.51,351.18,2.810,2460000.5,343.94,2.98
"202982 (1999 TD239)",3.975,0.2629,3.97,73.67,299.00,2.930,2460000.5,352.88,2.99
"202992 (1999 VG135)",3.989,0.3114,2.65,293.87,103.72,2.747,2460000.5,317.71,2.97
"203128 (2000 SE249)",3.951,0.2804,3.22,61.45,348.86,2.843,2460000.5,279.62,2.99
"203156 (2000 WK138)",3.964,0.2616,2.33,196.43,206.86,2.927,2460000.5,304.32,3
"203157 (2000 WC140)",3.964,0.2429,2.75,38.28,41.61,3.001,2460000.5,294.43,3
"203159 (2000 WQ144)",3.985,0.2489,3.46,153.09,253.21,2.994,2460000.5,301.48,3
"204622 (2005 MD8)",3.999,0.1526,4.34,264.06,51.22,3.389,2460000.5,66.23,3.03
"204803 (2006 SQ98)",3.946,0.1083,3.31,211.38,65.27,3.518,2460000.5,123.61,3.05
